"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2000","14,957","15,251","15,328","14,931","166.19M","-1.91%"
"06/01/2000","15,450","14,967","15,473","14,967","195.11M","3.30%"
"06/02/2000","16,222","15,518","16,261","15,518","281.52M","5.00%"
"06/05/2000","16,023","16,222","16,312","15,975","138.65M","-1.23%"
"06/06/2000","15,947","16,018","16,173","15,827","187.06M","-0.47%"
"06/07/2000","16,272","15,955","16,278","15,709","202.25M","2.04%"
"06/08/2000","16,399","16,286","16,640","16,227","161.06M","0.78%"
"06/09/2000","16,342","16,421","16,561","16,200","153.30M","-0.35%"
"06/12/2000","16,097","16,351","16,365","16,084","876.02M","-1.50%"
"06/13/2000","16,354","16,100","16,360","16,075","160.08M","1.60%"
"06/14/2000","16,366","16,365","16,523","16,135","259.10M","0.07%"
"06/15/2000","16,561","16,369","16,630","16,325","168.38M","1.19%"
"06/16/2000","16,425","16,567","16,598","16,379","217.85M","-0.82%"
"06/19/2000","16,850","16,423","16,863","16,411","210.01M","2.59%"
"06/20/2000","16,844","16,854","16,952","16,708","194.09M","-0.04%"
"06/21/2000","17,254","16,854","17,396","16,834","333.29M","2.43%"
"06/23/2000","16,977","17,205","17,266","16,910","244.01M","-1.61%"
"06/26/2000","16,745","16,977","17,019","16,686","178.14M","-1.37%"
"06/27/2000","16,513","16,744","16,780","16,388","166.98M","-1.39%"
"06/28/2000","16,842","16,533","17,101","16,494","177.28M","1.99%"
"06/29/2000","16,407","16,830","16,850","16,329","112.29M","-2.58%"
"06/30/2000","16,728","16,404","16,836","16,400","144.07M","1.96%"
"07/03/2000","17,089","16,747","17,099","16,743","161.51M","2.16%"
"07/04/2000","17,279","17,106","17,340","17,088","125.34M","1.11%"
"07/05/2000","17,135","17,285","17,362","17,086","171.06M","-0.83%"
"07/06/2000","17,348","17,148","17,366","17,024","177.51M","1.24%"
"07/07/2000","17,599","17,352","17,754","17,352","178.38M","1.45%"
"07/10/2000","17,472","17,620","17,795","17,444","114.81M","-0.72%"
"07/11/2000","16,881","17,473","17,473","16,827","147.80M","-3.38%"
"07/12/2000","17,053","16,893","17,176","16,693","123.91M","1.02%"
"07/13/2000","16,444","17,057","17,383","16,416","145.56M","-3.57%"
"07/14/2000","16,881","16,439","16,885","16,390","100.65M","2.66%"
"07/17/2000","17,388","16,890","17,395","16,890","124.07M","3.00%"
"07/18/2000","17,369","17,379","17,566","17,281","120.42M","-0.11%"
"07/19/2000","16,928","17,354","17,358","16,868","115.71M","-2.54%"
"07/20/2000","17,204","16,951","17,353","16,951","943.87M","1.63%"
"07/21/2000","17,318","17,207","17,365","17,071","114.32M","0.66%"
"07/24/2000","17,386","17,314","17,588","17,314","137.38M","0.39%"
"07/25/2000","17,049","17,390","17,530","17,046","105.44M","-1.94%"
"07/26/2000","17,121","17,049","17,211","16,840","123.20M","0.42%"
"07/27/2000","16,949","17,121","17,225","16,923","110.50M","-1.00%"
"07/28/2000","16,486","16,949","17,039","16,448","102.09M","-2.73%"
