"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/1993","1,590.43","1,590.43","1,590.43","1,590.43","36.21M","1.71%"
"03/01/1993","1,563.63","1,563.63","1,563.63","1,563.63","33.78M","1.10%"
"02/26/1993","1,546.68","1,546.68","1,546.68","1,546.68","46.23M","2.83%"
"02/25/1993","1,504.15","1,504.15","1,504.15","1,504.15","33.91M","-0.76%"
"02/24/1993","1,515.68","1,515.68","1,515.68","1,515.68","39.14M","-1.75%"
"02/23/1993","1,542.66","1,542.66","1,542.66","1,542.66","35.91M","-1.93%"
"02/22/1993","1,573.04","1,573.04","1,573.04","1,573.04","19.38M","-0.07%"
"02/19/1993","1,574.11","1,574.11","1,574.11","1,574.11","21.30M","1.12%"
"02/18/1993","1,556.71","1,556.71","1,556.71","1,556.71","46.28M","-1.03%"
"02/17/1993","1,572.86","1,572.86","1,572.86","1,572.86","36.51M","-1.39%"
"02/16/1993","1,595.02","1,595.02","1,595.02","1,595.02","44.98M","-2.05%"
"02/15/1993","1,628.32","1,628.32","1,628.32","1,628.32","14.11M","-0.64%"
"02/12/1993","1,638.77","1,638.77","1,638.77","1,638.77","25.75M","-1.36%"
"02/11/1993","1,661.32","1,661.32","1,661.32","1,661.32","62.39M","1.43%"
"02/10/1993","1,637.85","1,637.85","1,637.85","1,637.85","35.18M","0.75%"
"02/09/1993","1,625.70","1,625.70","1,625.70","1,625.70","21.83M","-0.90%"
"02/08/1993","1,640.42","1,640.42","1,640.42","1,640.42","18.72M","-1.16%"
"02/04/1993","1,659.69","1,659.69","1,659.69","1,659.69","45.04M","3.24%"
"02/03/1993","1,607.56","1,607.56","1,607.56","1,607.56","75.13M","-1.02%"
"02/02/1993","1,624.15","1,624.15","1,624.15","1,624.15","69.75M","-2.41%"
"02/01/1993","1,664.32","1,664.32","1,664.32","1,664.32","41.05M","0.67%"
"01/29/1993","1,653.22","1,653.22","1,653.22","1,653.22","76.54M","-1.64%"
"01/28/1993","1,680.83","1,680.83","1,680.83","1,680.83","69.30M","-3.44%"
"01/27/1993","1,740.69","1,740.69","1,740.69","1,740.69","49.02M","-2.17%"
