"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/1993","443.51","443.51","443.51","443.51","","0.31%"
"08/27/1993","442.14","442.14","442.14","442.14","","-1.05%"
"08/26/1993","446.85","446.85","446.85","446.85","","1.12%"
"08/25/1993","441.92","441.92","441.92","441.92","","0.69%"
"08/24/1993","438.91","438.91","438.91","438.91","","0.64%"
"08/23/1993","436.14","436.14","436.14","436.14","","-0.46%"
"08/20/1993","438.16","438.16","438.16","438.16","","1.65%"
"08/19/1993","431.06","431.06","431.06","431.06","","1.85%"
"08/18/1993","423.24","423.24","423.24","423.24","","0.77%"
"08/17/1993","419.99","419.99","419.99","419.99","","1.79%"
"08/13/1993","412.60","412.60","412.60","412.60","","0.15%"
"08/12/1993","411.99","411.99","411.99","411.99","","1.23%"
"08/11/1993","406.99","406.99","406.99","406.99","","0.00%"
"08/10/1993","406.98","406.98","406.98","406.98","","2.18%"
"08/09/1993","398.30","398.30","398.30","398.30","","-0.80%"
"08/06/1993","401.52","401.52","401.52","401.52","","-1.42%"
"08/05/1993","407.32","407.32","407.32","407.32","","2.38%"
"08/04/1993","397.86","397.86","397.86","397.86","","-0.33%"
"08/03/1993","399.16","399.16","399.16","399.16","","-2.38%"
"08/02/1993","408.90","408.90","408.90","408.90","","-0.29%"
"07/30/1993","410.09","410.09","410.09","410.09","","-0.72%"
"07/29/1993","413.06","413.06","413.06","413.06","","-1.13%"
"07/28/1993","417.79","417.79","417.79","417.79","","0.68%"
"07/27/1993","414.96","414.96","414.96","414.96","","1.28%"
"07/26/1993","409.70","409.70","409.70","409.70","","-0.57%"
"07/23/1993","412.04","412.04","412.04","412.04","","-0.11%"
"07/22/1993","412.50","412.50","412.50","412.50","","-0.53%"
"07/21/1993","414.68","414.68","414.68","414.68","","-0.57%"
"07/20/1993","417.07","417.07","417.07","417.07","","0.85%"
"07/19/1993","413.56","413.56","413.56","413.56","","0.82%"
"07/16/1993","410.21","410.21","410.21","410.21","","0.10%"
"07/15/1993","409.81","409.81","409.81","409.81","","-0.94%"
"07/14/1993","413.71","413.71","413.71","413.71","","0.65%"
"07/13/1993","411.04","411.04","411.04","411.04","","-0.11%"
"07/12/1993","411.49","411.49","411.49","411.49","","-1.61%"
"07/08/1993","418.24","418.24","418.24","418.24","","3.27%"
"07/07/1993","404.98","404.98","404.98","404.98","","-1.07%"
"07/06/1993","409.35","409.35","409.35","409.35","","-0.64%"
"07/05/1993","411.99","411.99","411.99","411.99","","-0.46%"
"07/02/1993","413.91","413.91","413.91","413.91","","2.30%"
"07/01/1993","404.62","404.62","404.62","404.62","","-2.01%"
"06/30/1993","412.91","412.91","412.91","412.91","","1.60%"
"06/29/1993","406.40","406.40","406.40","406.40","","-2.41%"
"06/28/1993","416.45","416.45","416.45","416.45","","-0.92%"
"06/25/1993","420.30","420.30","420.30","420.30","","0.04%"
"06/24/1993","420.12","420.12","420.12","420.12","","-1.29%"
"06/23/1993","425.62","425.62","425.62","425.62","","1.69%"
"06/22/1993","418.56","418.56","418.56","418.56","","-0.31%"
"06/21/1993","419.85","419.85","419.85","419.85","","-0.52%"
"06/18/1993","422.03","422.03","422.03","422.03","","1.65%"
"06/17/1993","415.16","415.16","415.16","415.16","","1.74%"
"06/16/1993","408.07","408.07","408.07","408.07","","0.26%"
"06/15/1993","407.02","407.02","407.02","407.02","","2.49%"
"06/11/1993","397.12","397.12","397.12","397.12","","-0.97%"
"06/10/1993","401.02","401.02","401.02","401.02","","2.79%"
"06/09/1993","390.13","390.13","390.13","390.13","","-1.93%"
"06/08/1993","397.79","397.79","397.79","397.79","","-1.76%"
"06/07/1993","404.90","404.90","404.90","404.90","","0.81%"
"06/04/1993","401.63","401.63","401.63","401.63","","1.02%"
"06/03/1993","397.59","397.59","397.59","397.59","","0.91%"
"06/02/1993","394.02","394.02","394.02","394.02","","3.33%"
"06/01/1993","381.32","381.32","381.32","381.32","","0.98%"
"05/31/1993","377.62","377.62","377.62","377.62","","-0.73%"
"05/28/1993","380.39","380.39","380.39","380.39","","2.65%"
"05/27/1993","370.57","370.57","370.57","370.57","","1.54%"
"05/26/1993","364.96","364.96","364.96","364.96","","1.62%"
"05/24/1993","359.15","359.15","359.15","359.15","","0.10%"
"05/21/1993","358.78","358.78","358.78","358.78","","-1.59%"
"05/20/1993","364.56","364.56","364.56","364.56","","-1.57%"
"05/19/1993","370.39","370.39","370.39","370.39","","1.22%"
"05/18/1993","365.93","365.93","365.93","365.93","","1.89%"
"05/17/1993","359.15","359.15","359.15","359.15","","-1.10%"
"05/14/1993","363.16","363.16","363.16","363.16","","-2.94%"
"05/13/1993","374.15","374.15","374.15","374.15","","2.95%"
"05/12/1993","363.42","363.42","363.42","363.42","","-0.45%"
"05/11/1993","365.08","365.08","365.08","365.08","","2.39%"
"05/10/1993","356.56","356.56","356.56","356.56","","-1.28%"
"05/07/1993","361.19","361.19","361.19","361.19","","-1.46%"
"05/06/1993","366.54","366.54","366.54","366.54","","-3.83%"
"05/05/1993","381.13","381.13","381.13","381.13","","3.55%"
"05/04/1993","368.06","368.06","368.06","368.06","","-1.33%"
"05/03/1993","373.02","373.02","373.02","373.02","","-6.05%"
"04/30/1993","397.03","397.03","397.03","397.03","","-3.13%"
"04/29/1993","409.86","409.86","409.86","409.86","","0.48%"
"04/28/1993","407.90","407.90","407.90","407.90","","1.04%"
"04/27/1993","403.71","403.71","403.71","403.71","","-2.40%"
"04/26/1993","413.64","413.64","413.64","413.64","","-3.19%"
"04/23/1993","427.26","427.26","427.26","427.26","","-0.47%"
"04/22/1993","429.28","429.28","429.28","429.28","","-0.41%"
"04/21/1993","431.06","431.06","431.06","431.06","","0.58%"
"04/20/1993","428.56","428.56","428.56","428.56","","1.29%"
"04/19/1993","423.09","423.09","423.09","423.09","","1.10%"
"04/16/1993","418.47","418.47","418.47","418.47","","1.25%"
"04/15/1993","413.29","413.29","413.29","413.29","","-1.53%"
"04/14/1993","419.72","419.72","419.72","419.72","","0.10%"
"04/13/1993","419.28","419.28","419.28","419.28","","2.12%"
"04/12/1993","410.59","410.59","410.59","410.59","","0.03%"
"04/07/1993","410.45","410.45","410.45","410.45","","-1.44%"
"04/06/1993","416.43","416.43","416.43","416.43","","4.48%"
"04/05/1993","398.57","398.57","398.57","398.57","","-0.12%"
"04/02/1993","399.06","399.06","399.06","399.06","","-2.24%"
"04/01/1993","408.20","408.20","408.20","408.20","","-2.96%"
"03/31/1993","420.66","420.66","420.66","420.66","","0.47%"
"03/30/1993","418.70","418.70","418.70","418.70","","2.18%"
"03/29/1993","409.77","409.77","409.77","409.77","","-1.63%"
"03/26/1993","416.58","416.58","416.58","416.58","","1.59%"
"03/25/1993","410.07","410.07","410.07","410.07","","0.39%"
"03/24/1993","408.46","408.46","408.46","408.46","","-1.78%"
"03/23/1993","415.87","415.87","415.87","415.87","","-0.53%"
"03/22/1993","418.07","418.07","418.07","418.07","","2.67%"
"03/19/1993","407.19","407.19","407.19","407.19","","2.08%"
"03/18/1993","398.89","398.89","398.89","398.89","","-2.70%"
"03/17/1993","409.94","409.94","409.94","409.94","","0.25%"
"03/16/1993","408.91","408.91","408.91","408.91","","3.41%"
"03/15/1993","395.42","395.42","395.42","395.42","","1.38%"
"03/12/1993","390.02","390.02","390.02","390.02","","1.19%"
"03/11/1993","385.42","385.42","385.42","385.42","","1.81%"
"03/10/1993","378.58","378.58","378.58","378.58","","4.29%"
"03/09/1993","363.01","363.01","363.01","363.01","","1.07%"
"03/08/1993","359.15","359.15","359.15","359.15","","-2.34%"
"03/05/1993","367.74","367.74","367.74","367.74","","0.96%"
"03/04/1993","364.24","364.24","364.24","364.24","","-0.88%"
"03/03/1993","367.46","367.46","367.46","367.46","","0.48%"
"03/02/1993","365.72","365.72","365.72","365.72","","-1.67%"
"03/01/1993","371.93","371.93","371.93","371.93","","-4.34%"
"02/26/1993","388.79","388.79","388.79","388.79","","0.87%"
"02/25/1993","385.45","385.45","385.45","385.45","","0.69%"
"02/24/1993","382.79","382.79","382.79","382.79","","-1.91%"
"02/23/1993","390.23","390.23","390.23","390.23","","3.82%"
"02/22/1993","375.86","375.86","375.86","375.86","","2.31%"
"02/19/1993","367.36","367.36","367.36","367.36","","2.15%"
"02/18/1993","359.64","359.64","359.64","359.64","","-5.83%"
"02/17/1993","381.90","381.90","381.90","381.90","","2.88%"
"02/16/1993","371.22","371.22","371.22","371.22","","-1.79%"
"02/15/1993","377.99","377.99","377.99","377.99","","-3.48%"
"02/12/1993","391.62","391.62","391.62","391.62","","-0.37%"
"02/11/1993","393.09","393.09","393.09","393.09","","-0.60%"
"02/10/1993","395.45","395.45","395.45","395.45","","2.43%"
"02/09/1993","386.06","386.06","386.06","386.06","","-3.58%"
"02/08/1993","400.40","400.40","400.40","400.40","","-1.93%"
"02/05/1993","408.28","408.28","408.28","408.28","","-1.80%"
"02/04/1993","415.76","415.76","415.76","415.76","","0.58%"
"02/03/1993","413.38","413.38","413.38","413.38","","2.12%"
"02/02/1993","404.78","404.78","404.78","404.78","","-1.28%"
"02/01/1993","410.04","410.04","410.04","410.04","","-4.25%"
"01/29/1993","428.24","428.24","428.24","428.24","","9.26%"
"01/28/1993","391.94","391.94","391.94","391.94","","-0.31%"
"01/27/1993","393.16","393.16","393.16","393.16","","-3.77%"
"01/26/1993","408.58","408.58","408.58","408.58","","2.15%"
"01/25/1993","399.97","399.97","399.97","399.97","","-4.07%"
"01/22/1993","416.93","416.93","416.93","416.93","","-1.36%"
"01/21/1993","422.68","422.68","422.68","422.68","","-3.40%"
"01/20/1993","437.57","437.57","437.57","437.57","","2.51%"
"01/19/1993","426.85","426.85","426.85","426.85","","-2.76%"
"01/18/1993","438.98","438.98","438.98","438.98","","-2.96%"
"01/15/1993","452.35","452.35","452.35","452.35","","-2.72%"
"01/14/1993","464.99","464.99","464.99","464.99","","0.63%"
"01/13/1993","462.09","462.09","462.09","462.09","","-2.19%"
"01/12/1993","472.46","472.46","472.46","472.46","","-0.47%"
"01/11/1993","474.68","474.68","474.68","474.68","","2.24%"
"01/08/1993","464.26","464.26","464.26","464.26","","-0.70%"
"01/07/1993","467.55","467.55","467.55","467.55","","3.11%"
"01/06/1993","453.46","453.46","453.46","453.46","","3.52%"
"01/05/1993","438.05","438.05","438.05","438.05","","3.21%"
"01/04/1993","424.44","424.44","424.44","424.44","","-0.44%"
"12/30/1992","426.33","426.33","426.33","426.33","","-2.34%"
"12/29/1992","436.53","436.53","436.53","436.53","","-4.48%"
"12/28/1992","456.98","456.98","456.98","456.98","","1.36%"
"12/24/1992","450.87","450.87","450.87","450.87","","1.34%"
"12/23/1992","444.90","444.90","444.90","444.90","","4.04%"
"12/22/1992","427.64","427.64","427.64","427.64","","-1.05%"
"12/21/1992","432.16","432.16","432.16","432.16","","4.60%"
"12/18/1992","413.15","413.15","413.15","413.15","","1.13%"
"12/17/1992","408.53","408.53","408.53","408.53","","-0.53%"
"12/16/1992","410.69","410.69","410.69","410.69","","-0.90%"
"12/15/1992","414.44","414.44","414.44","414.44","","-1.68%"
"12/14/1992","421.51","421.51","421.51","421.51","","2.29%"
"12/11/1992","412.08","412.08","412.08","412.08","","-0.74%"
"12/10/1992","415.14","415.14","415.14","415.14","","5.46%"
"12/09/1992","393.66","393.66","393.66","393.66","","-0.83%"
"12/07/1992","396.94","396.94","396.94","396.94","","0.35%"
"12/04/1992","395.54","395.54","395.54","395.54","","1.57%"
"12/03/1992","389.41","389.41","389.41","389.41","","5.69%"
"12/02/1992","368.44","368.44","368.44","368.44","","-0.27%"
"12/01/1992","369.42","369.42","369.42","369.42","","6.78%"
"11/30/1992","345.97","345.97","345.97","345.97","","-1.37%"
"11/27/1992","350.79","350.79","350.79","350.79","","1.38%"
"11/26/1992","346.00","346.00","346.00","346.00","","3.91%"
"11/25/1992","332.97","332.97","332.97","332.97","","-1.81%"
"11/24/1992","339.12","339.12","339.12","339.12","","6.29%"
"11/23/1992","319.06","319.06","319.06","319.06","","-5.03%"
"11/20/1992","335.97","335.97","335.97","335.97","","-7.27%"
"11/19/1992","362.30","362.30","362.30","362.30","","-2.37%"
"11/18/1992","371.08","371.08","371.08","371.08","","3.15%"
